top - 20:23:23 up  3:15,  2 users,  load average: 35.26, 39.98, 31.77
Tasks: 493 total,   1 running, 492 sleeping,   0 stopped,   0 zombie
Cpu(s): 10.9%us,  0.6%sy,  0.1%ni, 87.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.3%st
Mem:  61722916k total, 40832272k used, 20890644k free,   110072k buffers
Swap:        0k total,        0k used,        0k free, 22224360k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
21529 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:30.89 java               
21543 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:27.70 java               
21554 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:22.15 java               
21558 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:23.15 java               
21559 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:25.41 java               
21565 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:23.44 java               
21569 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:21.53 java               
21571 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:24.15 java               
21573 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:21.97 java               
21574 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:22.88 java               
21575 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:23.26 java               
21576 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:24.69 java               
21580 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:24.97 java               
21608 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   2:13.88 java               
21621 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:50.03 java               
21631 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:28.98 java               
21633 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:32.38 java               
21640 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:32.42 java               
21653 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:08.88 java               
21663 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:26.89 java               
21669 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:20.61 java               
21685 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   0:23.26 java               
21707 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:18.59 java               
